Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Manhattan,MN01,2,2019,August,25.6742160435414,44.3023263737898,60.4945096369232,48.6636313641832
Manhattan,MN02,2,2019,August,24.5085449628628,39.1586549829556,70.6555427370764,47.6422258215261
Manhattan,MN03,2,2019,August,13.0334920875048,38.5712625614271,41.4352272128009,39.7996829002841
Manhattan,MN04,2,2019,August,22.3725378387893,33.0040134875485,67.2831669541696,42.2369773597414
Manhattan,MN05,2,2019,August,19.0602529160781,31.6656636931381,51.6607862922313,37.0512764025435
Manhattan,MN06,2,2019,August,22.0863525291708,34.3039577233013,61.4446426837252,41.6142013659913
Manhattan,MN07,2,2019,August,25.8070741798678,41.4078143821057,70.7576440025028,49.3130830114496
Manhattan,MN08,2,2019,August,25.4813657651206,42.1833874331353,67.5391829488157,49.0128776705458
Manhattan,MN09,2,2019,August,17.1446865403643,56.5255561495700,49.1686920884446,53.3700278721670
Manhattan,MN10,2,2019,August,13.8912539008932,35.4891299844195,54.4883406175038,43.6383285971585
Manhattan,MN11,2,2019,August,11.5809809826454,41.1781756986341,31.5444188526277,37.0460357144481
Manhattan,MN12,2,2019,August,15.3713459271831,41.4600377832246,55.9828450670207,47.6892039973251
Queens East,QE07,2,2019,August,19.7091839281687,46.0850067553055,58.4036610161497,50.9861839355424
Queens East,QE08,2,2019,August,16.4616708392888,26.8239746776938,49.6170393083147,33.5441027647362
Queens East,QE10,2,2019,August,18.3464693738602,34.3878939912263,77.4919696037443,49.6704749909414
Queens East,QE11,2,2019,August,23.8150800882379,52.0435652576761,78.3153431799892,61.3582430091154
Queens East,QE12,2,2019,August,13.3003280903256,31.1945343072689,57.1517911000272,43.6907722167423
Queens East,QE13,2,2019,August,22.7031832705863,32.1370580033768,81.2947292113727,49.5659456739289
Queens East,QE14,2,2019,August,14.0732969579902,31.1124312777512,41.8485564456328,35.3839734902999
Queens West,QW01,2,2019,August,19.6947931958880,50.2517482486390,68.1962674423711,57.3912673974308
Queens West,QW02,2,2019,August,21.2511691906172,50.0381589942643,67.1156716738718,56.8327254840915
Queens West,QW03,2,2019,August,13.9759227213989,30.4309191880456,56.3073863430348,40.7262929877882
Queens West,QW04,2,2019,August,14.7896362315078,33.9144531573120,56.9951409124312,43.0974805996141
Queens West,QW05,2,2019,August,22.7845489638285,46.0046978252653,79.6620701150372,59.3958314280411
Queens West,QW06,2,2019,August,20.3054355878114,30.1288358963008,64.8163504099831,39.4717903141470
Queens West,QW09,2,2019,August,21.2239810866279,39.6367203787986,70.7078223722025,51.9988642323634
Staten Island,SI01,2,2019,August,19.8168529642320,38.7492802539804,69.4265988148224,49.6259456063393
Staten Island,SI02,2,2019,August,17.9483892461995,42.5682346894513,67.6243507354943,51.4518986486132
Staten Island,SI03,2,2019,August,19.3393030853862,45.3657925860700,76.0760368071100,56.2541317549252
Brooklyn North,BKN01,6,2019,December,16.5032295178800,52.2731358830163,46.8391437741070,50.0469224175666
Brooklyn North,BKN02,6,2019,December,21.2175757587752,34.5184734012235,58.0363727355596,41.1978572535058
Brooklyn North,BKN03,6,2019,December,12.3685275670183,36.4170456468950,41.9887229090435,38.6996663606421
Brooklyn North,BKN04,6,2019,December,16.2808871876813,39.3604816074195,69.0211992463132,51.5119694416298
Brooklyn North,BKN05,6,2019,December,10.5922786817252,26.6485647223899,43.4052140186840,33.5134768443759
Brooklyn North,BKN08,6,2019,December,17.1292167033243,49.7218003358963,54.9698025073866,51.8718169105847
Brooklyn North,BKN09,6,2019,December,14.3282689588876,32.2286000767006,46.8334877399908,37.5452020017420
Brooklyn North,BKN16,6,2019,December,10.8050743842506,25.9237194759449,39.0477473504246,31.3004088397740
Brooklyn North,BKN17,6,2019,December,14.3649321571020,28.9413917962670,59.8981300268689,40.2105407184810
Brooklyn South,BKS06,6,2019,December,30.0253811860287,48.5760467636589,79.4775188129524,57.3524595921828
Brooklyn South,BKS07,6,2019,December,20.6130911456854,44.9021247992701,68.8070320469259,53.6042030912022
Brooklyn South,BKS10,6,2019,December,25.7192391758945,55.9023007690936,72.6258535955751,61.9901581494888
Brooklyn South,BKS11,6,2019,December,20.0694968379654,46.4380937336561,59.9714718865569,51.3646351764142
Brooklyn South,BKS12,6,2019,December,16.2872639590025,50.3557550652666,44.7933299130510,48.0769247824409
Brooklyn South,BKS13,6,2019,December,14.7493288078672,45.3910780635724,45.4147458767066,45.4017294497381
Brooklyn South,BKS14,6,2019,December,15.3199945950841,34.2017216532242,52.1080178555479,39.8022083700155
Brooklyn South,BKS15,6,2019,December,20.3910107896812,49.3663222725500,59.9157560511567,53.2066215770366
Brooklyn South,BKS18,6,2019,December,16.4248859394678,33.2720232210390,62.1745205936677,42.5087652488353
Bronx,BX01,6,2019,December,6.9705375416680,20.3618473804397,23.3507513266011,21.7069640569273
Bronx,BX02,6,2019,December,13.8832962382349,38.0025590502440,52.8567497259086,44.6874910365074
Bronx,BX03,6,2019,December,8.6842530532956,25.7296596861357,30.6696442609410,27.9528343859102
Bronx,BX04,6,2019,December,12.0243952387005,32.1192220487845,44.4514835341948,37.6691931691797
Bronx,BX05,6,2019,December,11.2542928053318,29.6115635847270,44.3074808058118,36.2252666967825
Bronx,BX06,6,2019,December,13.1730360280773,33.8287362098838,41.2723101173933,37.1786181652802
Bronx,BX07,6,2019,December,15.2174832784348,38.2764589248445,62.0645314475384,48.9819662372713
Bronx,BX08,6,2019,December,21.3819793396417,38.5802162872805,74.2923717734168,49.7497764335120
Bronx,BX09,6,2019,December,10.6038367609735,25.7611767127907,44.7731247030912,33.5500460692703
Bronx,BX10,6,2019,December,22.2268757606933,41.6983651799601,80.9519535068476,55.9878077333649
Bronx,BX11,6,2019,December,17.3987119423267,35.8705359557534,55.5971671278401,43.0516007939113
Bronx,BX12,6,2019,December,20.9802845195679,34.7784030266155,73.1036285893535,48.7298946575068
Manhattan,MN01,6,2019,December,29.4698381976801,50.1872529300294,69.6102144954527,55.1854400603981
Manhattan,MN02,6,2019,December,28.5274496117251,43.7832437338024,79.2432836003790,52.9083153304532
Manhattan,MN03,6,2019,December,14.8369383578954,44.6239061167491,40.8364478702737,42.9194106426214
Manhattan,MN04,6,2019,December,24.7576274496659,36.6773338240378,71.8089751727016,45.7178973378026
Manhattan,MN05,6,2019,December,21.4282611385822,34.8926020721185,58.3647843508585,40.9327911026172
Manhattan,MN06,6,2019,December,25.2327215853085,38.9416707407797,70.5638881368933,47.0791403790013
Manhattan,MN07,6,2019,December,28.6797710090560,44.9621667841266,76.3884737775090,53.0492220274920
Manhattan,MN08,6,2019,December,28.4074048455733,46.9818217637233,74.1410423145365,53.9708108615330
Manhattan,MN09,6,2019,December,19.1274448262168,58.6804039156761,49.3208970933301,54.4682817005726
Manhattan,MN10,6,2019,December,14.7728599845946,42.5851090711878,51.8793409065536,46.7678551420170
Manhattan,MN11,6,2019,December,11.6219385763091,42.1960526121940,28.8053360977544,36.1697378097985
Manhattan,MN12,6,2019,December,16.8561137626186,48.1124366562299,55.3793706613961,51.3828241605984
Queens East,QE07,6,2019,December,21.5670793734817,49.9787286303460,62.8934843352851,54.6800735927523
Queens East,QE08,6,2019,December,17.8905830782138,28.5460747945243,50.6582172976761,34.8262057481967
Queens East,QE10,6,2019,December,20.4408338353599,36.8100461452144,76.6618253190574,49.5459906842525
Queens East,QE11,6,2019,December,26.0611021812611,49.1587105791691,73.6054767612945,56.9714774043637
Queens East,QE12,6,2019,December,17.0340365411116,32.1749143523469,64.4707659577831,45.6957163805513
Queens East,QE13,6,2019,December,22.4047340384824,30.9807510050673,82.5060706371695,47.4473586897094
Queens East,QE14,6,2019,December,14.5016290708038,33.9065682227016,41.1218122600918,36.5331259356550
Queens West,QW01,6,2019,December,21.0566340831929,49.3338604263879,70.2791135666984,56.9585389404278
Queens West,QW02,6,2019,December,21.7283481927297,48.9719975589064,67.2838722238916,55.6380500708807
Queens West,QW03,6,2019,December,15.5249533752652,32.4452664525421,61.3635250246928,42.9723497645206
Queens West,QW04,6,2019,December,16.0784260300924,35.5586043655113,60.1971749129718,44.5277573383311
Queens West,QW05,6,2019,December,24.6637758135321,49.5482011657838,82.1210151648678,61.4056484535731
Queens West,QW06,6,2019,December,23.4709513710992,32.0274660740839,66.4192961964706,40.8776510537808
Queens West,QW09,6,2019,December,23.7808520558416,41.8528019006089,73.1012622791203,53.2281461301001
Staten Island,SI01,6,2019,December,22.1710182995017,39.4869745667395,70.3454445401554,49.3488118620478
Staten Island,SI02,6,2019,December,20.6802076983454,43.4203115142903,68.1710098193736,51.3302098287651
Staten Island,SI03,6,2019,December,22.2665731345708,48.6748566604041,72.7710536997240,56.3755876053337
Brooklyn North,BKN01,8,2019,February,15.8663159074847,48.3024138458965,48.1651026114709,48.2461597857306
Brooklyn North,BKN02,8,2019,February,20.6273191757143,33.0963699175913,60.2285590705286,40.8022582509344
Brooklyn North,BKN03,8,2019,February,12.9745991213680,35.5959477046370,45.6364805838429,39.7093819989803
Brooklyn North,BKN04,8,2019,February,15.8154730191342,37.6314089284382,67.9182789603457,50.0394206700839
Brooklyn North,BKN05,8,2019,February,10.5556130517901,24.5906033182582,46.0873899610473,33.3974684974720
Brooklyn North,BKN08,8,2019,February,16.9841278906040,47.0076356903297,60.5609450794445,52.5601943357468
Brooklyn North,BKN09,8,2019,February,13.9980146708965,31.8132273926395,45.0631004684891,36.6365647797994
Brooklyn North,BKN16,8,2019,February,9.6535073494785,21.5119894996589,38.3063867514499,28.3923663122694
Brooklyn North,BKN17,8,2019,February,14.1545621721594,27.5173867187743,60.7682670903574,39.6216697963654
Brooklyn South,BKS06,8,2019,February,29.1571729626231,44.1742610601938,85.5446884514113,55.9239909468029
Brooklyn South,BKS07,8,2019,February,20.1945428100120,41.5983891888135,70.5088500928991,52.1226339238716
Brooklyn South,BKS10,8,2019,February,24.3305755870130,48.2781038790409,77.5254572263706,58.9249872165708
Brooklyn South,BKS11,8,2019,February,18.8772981563348,42.2430923509431,62.8966505442146,49.7615854596101
Brooklyn South,BKS12,8,2019,February,15.5184251066964,48.7679519880917,44.9821561335223,47.2169762892003
Brooklyn South,BKS13,8,2019,February,14.4482038213123,40.3892449746001,49.0451471167402,44.2847192123690
Brooklyn South,BKS14,8,2019,February,15.3278708890941,32.1944617554942,56.5839458748454,39.8226714252355
Brooklyn South,BKS15,8,2019,February,19.2420067614503,44.4745400934866,61.8473798230195,50.7987567036309
Brooklyn South,BKS18,8,2019,February,15.6503019859808,29.8435523475438,63.2012103981892,40.5040872519444
Bronx,BX01,8,2019,February,7.0370452839854,19.1719764700443,25.7532413828251,22.1337876710812
Bronx,BX02,8,2019,February,13.0671857680477,34.0012006920003,51.9095099796170,42.0605983522723
Bronx,BX03,8,2019,February,8.9797048749407,23.6556640080605,35.3173097173430,28.9038333709440
Bronx,BX04,8,2019,February,11.9018802020015,28.1602749002688,48.3993246459611,37.2685914670009
Bronx,BX05,8,2019,February,10.8365741439423,25.2850115468903,46.6070564636749,34.8807157618815
Bronx,BX06,8,2019,February,14.4183278082974,36.2606203134917,49.5273206307651,42.2311232671400
Bronx,BX07,8,2019,February,14.1778846822222,32.9427949298899,61.1469704857358,45.6357109854478
Bronx,BX08,8,2019,February,20.3263256968900,35.9911569185017,81.5507873410799,50.2406757536954
Bronx,BX09,8,2019,February,9.8861003930022,22.2696415239552,44.2610910233954,31.2791616003907
Bronx,BX10,8,2019,February,20.2865684931474,37.0880261580949,82.1523901453999,53.4927592754806
Bronx,BX11,8,2019,February,16.0568368798282,32.7850414906892,56.9512381770416,41.5822367027096
Bronx,BX12,8,2019,February,19.0567266919295,31.0007164179770,75.2079653419479,47.0934348385871
Manhattan,MN01,8,2019,February,27.4826245349095,44.9419958564307,69.1851688455852,51.1805869603437
Manhattan,MN02,8,2019,February,27.3545440786861,39.6376828828211,82.4412767178975,50.6525001195944
Manhattan,MN03,8,2019,February,14.7852408562103,41.5837958029607,43.3851286403511,42.3944618140215
Manhattan,MN04,8,2019,February,23.9045686163916,33.8081161448546,73.7558975749880,44.0880359376385
Manhattan,MN05,8,2019,February,21.7247699034177,33.9687193386944,63.2321357325810,41.4991894329629
Manhattan,MN06,8,2019,February,23.7010491162487,34.4619223855581,71.9698771533703,44.1139919824351
Manhattan,MN07,8,2019,February,27.4477610054916,41.1154865649390,77.5432073691879,50.4895753051746
Manhattan,MN08,8,2019,February,26.6738028954737,41.2823241103986,77.5693679704524,50.6202118990106
Manhattan,MN09,8,2019,February,18.3689957281413,54.7997757010795,49.9367036391285,52.6112144601295
Manhattan,MN10,8,2019,February,14.5482598417253,38.7772895243429,54.6333346727196,45.9130928610856
Manhattan,MN11,8,2019,February,11.3750266167917,38.3297590436140,31.5468976627004,35.2772220193018
Manhattan,MN12,8,2019,February,16.5340610953753,43.4608217795989,58.3208561852613,50.1483836592327
Queens East,QE07,8,2019,February,20.4247029636268,45.7186269864097,66.7089606903892,53.3597161307202
Queens East,QE08,8,2019,February,17.4677290827776,28.7616142799294,54.0518517320953,35.9443647993074
Queens East,QE10,8,2019,February,19.6515308201512,33.0258796191918,81.4056850031651,48.4872349451834
Queens East,QE11,8,2019,February,24.8464004243581,48.6734376610869,83.6389041448480,59.8478005415042
Queens East,QE12,8,2019,February,14.7167671082742,31.8369419777688,69.3343696522706,47.5354069802681
Queens East,QE13,8,2019,February,21.2330559175326,30.5713971354311,89.2344408562728,49.3190989145825
Queens East,QE14,8,2019,February,13.1641899424429,30.1229810114738,40.5476743853400,33.9178711973650
Queens West,QW01,8,2019,February,20.1690320064253,46.0877378848037,74.5737389966971,56.4574669672736
Queens West,QW02,8,2019,February,21.7030852247472,46.6351285469953,72.5583192581100,56.0719204495001
Queens West,QW03,8,2019,February,14.8312317806413,29.5932373571078,62.3449635178380,41.5158138512937
Queens West,QW04,8,2019,February,15.3034479094843,31.7327870959584,62.2382220425748,42.8376485574447
Queens West,QW05,8,2019,February,24.3270841418168,45.1193211248059,85.7808668181935,59.9213009203783
Queens West,QW06,8,2019,February,21.2025546755284,29.7765602491261,71.4542379998503,40.5016410693529
Queens West,QW09,8,2019,February,22.1469172610238,39.2728764327643,75.7834410077019,52.5637789291505
Staten Island,SI01,8,2019,February,19.6327099731489,36.1194152478383,76.1159274643721,48.9016139828719
Staten Island,SI02,8,2019,February,20.6138342356447,40.6768648482784,73.6877589269610,51.2265799396967
Staten Island,SI03,8,2019,February,21.6460079462587,43.0080948470846,81.0555884265157,55.1674206820298
Brooklyn North,BKN01,7,2019,January,17.1269433819331,49.8768673296910,51.9538204537126,50.7277594397888
Brooklyn North,BKN02,7,2019,January,22.5068016942263,33.9898542946675,63.7820691196654,42.4512239007226
Brooklyn North,BKN03,7,2019,January,13.8610009778361,38.5584092306767,49.1924239077487,42.9149828493747
Brooklyn North,BKN04,7,2019,January,17.0714944765531,38.8802125710099,73.7769450535953,53.1768059770905
Brooklyn North,BKN05,7,2019,January,11.6802855332921,26.9637754733045,50.6595443418167,36.6715259948365
Brooklyn North,BKN08,7,2019,January,19.7988447519802,51.5533230373647,66.9420780735693,57.8578323173720
Brooklyn North,BKN09,7,2019,January,14.8862567221815,32.7181683747158,46.9375016066122,37.8944173248207
Brooklyn North,BKN16,7,2019,January,10.0716382395284,22.6982401740392,38.0351892112556,28.9815254238626
Brooklyn North,BKN17,7,2019,January,15.7045132987901,29.7162207902337,67.7738743212884,43.5703084553068
Brooklyn South,BKS06,7,2019,January,31.1333159916234,45.9948753196491,86.0863689865334,57.3813716901602
Brooklyn South,BKS07,7,2019,January,22.2196261796388,46.5369621859725,74.8086650019593,56.8286804847364
Brooklyn South,BKS10,7,2019,January,26.9243048535886,53.1528712844256,80.9284197042744,63.2639750191861
Brooklyn South,BKS11,7,2019,January,20.9238413285818,47.1770577455078,68.3311304058750,54.8777526102322
Brooklyn South,BKS12,7,2019,January,16.1354565072316,49.7746941258020,47.5286971858209,48.8545476605639
Brooklyn South,BKS13,7,2019,January,15.8433443981004,44.8708926818968,52.3542398964477,48.2386740879092
Brooklyn South,BKS14,7,2019,January,16.4387956462768,34.5791031312596,58.8096788581272,42.1576116047717
Brooklyn South,BKS15,7,2019,January,20.5369476240211,46.6551544673654,66.3455605482093,53.8230323235843
Brooklyn South,BKS18,7,2019,January,17.0944164567491,32.1340737775301,68.3211754640246,43.6988502984796
Bronx,BX01,7,2019,January,8.5353271990177,24.1563804586993,29.8203639953754,26.7053813124467
Bronx,BX02,7,2019,January,13.5968518454391,32.4637207976321,55.4605585084243,42.8131433513388
Bronx,BX03,7,2019,January,11.0594975752670,28.6723760231825,40.2867736822590,33.8992820261828
Bronx,BX04,7,2019,January,13.7312695453884,32.8083459625338,54.0712297644251,42.3774255004942
Bronx,BX05,7,2019,January,12.5666738814447,29.0960375609467,51.6611659281672,39.2511750362789
Bronx,BX06,7,2019,January,16.3360929948111,40.9183364920379,54.2681686080420,46.9262518118356
Bronx,BX07,7,2019,January,16.1471530255582,37.8125147018904,68.0708981778317,51.4298998538346
Bronx,BX08,7,2019,January,23.6662644536590,41.9141464224866,89.1072258197587,56.6745531142177
Bronx,BX09,7,2019,January,11.4008165656800,23.9643663435460,47.8475829292511,33.7489109832362
Bronx,BX10,7,2019,January,22.0151926727155,39.6318315226151,87.4408758605758,57.0357077469073
Bronx,BX11,7,2019,January,18.7651492147576,34.7210756233765,60.1717960836543,43.9858746764301
Bronx,BX12,7,2019,January,21.2056948906081,34.2702928396042,81.7121740570331,51.5405110585473
Manhattan,MN01,7,2019,January,29.0544862315346,45.6370886684852,70.3408227052116,51.9941977591105
Manhattan,MN02,7,2019,January,29.8148802988326,41.9822319162669,85.8416958013675,53.2687603479368
Manhattan,MN03,7,2019,January,15.2853904898873,42.9346415716653,42.7540605361358,42.8533734657899
Manhattan,MN04,7,2019,January,24.5396497123017,34.2406164586623,72.8217697233090,44.1688564478423
Manhattan,MN05,7,2019,January,24.0637236784821,36.3279394903346,68.1640186143632,44.5204430085617
Manhattan,MN06,7,2019,January,24.5142334033755,34.5126240076174,72.0294233182547,44.1669696055034
Manhattan,MN07,7,2019,January,28.9842107261725,41.3315529335222,80.8567333623028,51.5027231476629
Manhattan,MN08,7,2019,January,28.3071263037064,41.1043867605082,78.4337585774573,50.7105009039029
Manhattan,MN09,7,2019,January,19.3467283064667,55.9690903761156,50.7595410776213,53.6246016389019
Manhattan,MN10,7,2019,January,15.9133452939928,42.6517475437928,56.6917690140033,48.9702734509496
